2020	1	1	0	0	0	1.4590
2020	1	1	1	0	0	1.3880
2020	1	1	2	0	0	1.4390
2020	1	1	3	0	0	1.5630
2020	1	1	4	0	0	1.7140
2020	1	1	5	0	0	1.9490
2020	1	1	6	0	0	2.1660
2020	1	1	7	0	0	2.3120
2020	1	1	8	0	0	2.2380
2020	1	1	9	0	0	2.0180
2020	1	1	10	0	0	1.7900
2020	1	1	11	0	0	1.5700
2020	1	1	12	0	0	1.5620
2020	1	1	13	0	0	1.7330
2020	1	1	14	0	0	1.9340
2020	1	1	15	0	0	2.0930
2020	1	1	16	0	0	2.0690
2020	1	1	17	0	0	2.0140
2020	1	1	18	0	0	2.0240
2020	1	1	19	0	0	1.9690
2020	1	1	20	0	0	2.0040
2020	1	1	21	0	0	1.9690
2020	1	1	22	0	0	1.8370
2020	1	1	23	0	0	1.7120
2020	1	2	0	0	0	1.6800
2020	1	2	1	0	0	1.5310
2020	1	2	2	0	0	1.5970
2020	1	2	3	0	0	1.6200
2020	1	2	4	0	0	1.7580
2020	1	2	5	0	0	1.9380
2020	1	2	6	0	0	2.1560
2020	1	2	7	0	0	2.3220
2020	1	2	8	0	0	2.4000
2020	1	2	9	0	0	2.3240
2020	1	2	10	0	0	2.2010
2020	1	2	11	0	0	1.9780
2020	1	2	12	0	0	1.9450
2020	1	2	13	0	0	2.0370
2020	1	2	14	0	0	2.1900
2020	1	2	15	0	0	2.3160
2020	1	2	16	0	0	2.3980
2020	1	2	17	0	0	2.3790
2020	1	2	18	0	0	2.3650
2020	1	2	19	0	0	2.3660
2020	1	2	20	0	0	2.4120
2020	1	2	21	0	0	2.4600
2020	1	2	22	0	0	2.4390
2020	1	2	23	0	0	2.4040
2020	1	3	0	0	0	2.2950
2020	1	3	1	0	0	2.1880
2020	1	3	2	0	0	2.1310
2020	1	3	3	0	0	2.0710
2020	1	3	4	0	0	2.1050
2020	1	3	5	0	0	2.1650
2020	1	3	6	0	0	2.2610
2020	1	3	7	0	0	2.4300
2020	1	3	8	0	0	2.5370
2020	1	3	9	0	0	2.6230
2020	1	3	10	0	0	2.5210
2020	1	3	11	0	0	2.3530
2020	1	3	12	0	0	2.2390
2020	1	3	13	0	0	2.1970
2020	1	3	14	0	0	2.1470
2020	1	3	15	0	0	2.2110
2020	1	3	16	0	0	2.2490
2020	1	3	17	0	0	2.2300
2020	1	3	18	0	0	2.1690
