    2.0352     2.0415     1.7900     0.3552     1.0770     2.8400    -0.6010    -0.0632 
    2.0473     2.0025     1.8170     0.4069     1.0290     3.2180    -0.0823     0.3040 
    1.9550     1.9680     1.8400     0.3766     0.9180     2.8800    -0.4019    -0.0616 
    2.1189     2.1075     1.7800     0.4328     0.9450     3.3410    -0.0918     0.2200 
    2.3020     2.3000     2.5600     0.3775     1.4500     3.4400    -0.4512     0.0608 
    2.2307     2.2450     2.4500     0.3562     1.4000     3.1500    -0.5863    -0.0629 
    2.2383     2.2400     2.4300     0.3575     1.3500     3.0800    -0.5809    -0.1490 
    2.1691     2.1400     1.8900     0.3776     1.3500     3.3400    -0.1795     0.4196 
    2.1852     2.1500     2.0900     0.3841     1.3200     3.1300    -0.7341     0.2242 
    2.1210     2.1000     2.2700     0.3758     1.3200     3.0800    -0.5851     0.3168 
    2.1472     2.1500     2.2400     0.3486     1.3700     2.9800    -0.7607     0.1298 
    2.1333     2.1500     2.3300     0.3394     1.3800     2.9200    -0.8614     0.0165 
